iter	Passed	Remaining
0	604	906031
1	1143	856428
2	1678	837792
3	2178	814662
4	2665	797037
5	3204	797965
6	3680	785014
7	4177	779120
8	4701	778961
9	5126	763783
10	5637	763072
11	6102	756767
12	6717	768362
13	7368	782127
14	7893	781467
15	8377	777028
16	8877	774390
17	9408	774621
18	9925	773635
19	10430	771876
20	10965	772268
21	11499	772588
22	12009	771231
23	12513	769585
24	13006	767356
25	13515	766227
26	13987	763096
27	14505	762557
28	15012	761473
29	15465	757787
30	15962	756417
31	16518	757770
32	17053	758122
33	17539	756281
34	18030	754716
35	18545	754172
36	19088	754783
37	19559	752529
38	20066	751728
39	20593	751647
40	21105	751031
41	21589	749474
42	22134	750011
43	22656	749720
44	23170	749177
45	23753	750821
46	24275	750461
47	24774	749437
48	25338	750321
49	25830	749098
50	26326	747982
51	26845	747555
52	27357	746920
53	27867	746220
54	28432	746993
55	28951	746535
56	29459	745792
57	29991	745645
58	30501	744956
59	30985	743643
60	31492	742920
61	32043	743202
62	32595	743495
63	33143	743659
64	33644	742761
65	34154	742078
66	34669	741511
67	35177	740788
68	35712	740654
69	36251	740564
70	36758	739829
71	37334	740460
72	37857	740043
73	38364	739291
74	38869	738513
75	39387	738000
76	39947	738258
77	40464	737691
78	40975	737046
79	41527	737119
80	42023	736196
81	42542	735678
82	43041	734822
83	43538	733928
84	44096	734082
85	44614	733542
86	45158	733437
87	45628	732135
88	46136	731443
89	46632	730582
90	47162	730242
91	47675	729643
92	48212	729407
93	48728	728859
94	49275	728753
95	49802	728365
96	50338	728085
97	50859	727606
98	51400	727388
99	51915	726817
100	52397	725778
101	52900	725049
102	53412	724435
103	53864	723022
104	54315	721616
105	54878	721704
106	55395	721175
107	55921	720761
108	56428	720116
109	56939	719509
110	57379	718018
111	57903	717588
112	58423	717103
113	58931	716480
114	59453	716026
115	59899	714662
116	60364	713535
117	60874	712955
118	61398	712534
119	61919	712076
120	62419	711379
121	62848	709882
122	63315	708824
123	63841	708430
124	64334	707676
125	64813	706773
126	65339	706382
127	65842	705746
128	66356	705226
129	66888	704900
130	67420	704571
131	67909	703791
132	68338	702393
133	68879	702156
134	69442	702143
135	69964	701704
136	70496	701367
137	70987	700618
138	71469	699787
139	71988	699317
140	72505	698826
141	72991	698050
142	73505	697531
143	73989	696729
144	74500	696191
145	74982	695388
146	75500	694912
147	75941	693740
148	76466	693333
149	77009	693086
150	77504	692403
151	77923	691059
152	78447	690647
153	78954	690084
154	79473	689627
155	79889	688274
156	80330	687157
157	80806	686340
158	81223	685035
159	81734	684528
160	82144	683180
161	82573	681997
162	83004	680844
163	83435	679690
164	83863	678530
165	84286	677339
166	84712	676178
167	85133	674989
168	85656	674604
169	86178	674223
170	86695	673790
171	87209	673337
172	87700	672707
173	88206	672194
174	88714	671693
175	89229	671252
176	89676	670293
177	90078	669006
178	90521	668040
179	90968	667100
180	91488	666700
181	92020	666386
182	92541	665995
183	93044	665470
184	93573	665130
185	94024	664236
186	94522	663679
187	95022	663139
188	95556	662828
189	96052	662255
190	96546	661675
191	97058	661211
192	97599	660948
193	98076	660247
194	98508	659251
195	98950	658326
196	99395	657420
197	99847	656574
198	100304	655762
199	100766	654984
200	101217	654138
201	101675	653338
202	102127	652509
203	102581	651694
204	103027	650835
205	103478	650007
206	103922	649138
207	104364	648263
208	104810	647417
209	105252	646551
210	105689	645657
211	106126	644767
212	106562	643874
213	106997	642985
214	107429	642078
215	107866	641205
216	108305	640351
217	108832	640017
218	109276	639190
219	109727	638412
220	110182	637660
221	110623	636833
222	111055	635954
223	111503	635169
224	111942	634338
225	112385	633538
226	112822	632698
227	113258	631863
228	113701	631070
229	114144	630275
230	114583	629463
231	115024	628669
232	115465	627874
233	115902	627064
234	116341	626263
235	116783	625483
236	117222	624691
237	117660	623899
238	118096	623096
239	118539	622330
240	118975	621536
241	119486	621132
242	120071	621109
243	120510	620332
244	120946	619540
245	121381	618750
246	121824	617998
247	122258	617205
248	122696	616441
249	123135	615679
250	123577	614933
251	124015	614174
252	124453	613413
253	124890	612651
254	125331	611914
255	125770	611166
256	126207	610412
257	126639	609634
258	127082	608914
259	127524	608196
260	127970	607493
261	128412	606771
262	128844	606011
263	129283	605279
264	129721	604552
265	130161	603830
266	130599	603107
267	131039	602390
268	131477	601669
269	131919	600964
270	132351	600219
271	132786	599493
272	133226	598787
273	133666	598082
274	134101	597359
275	134532	596624
276	134973	595929
277	135412	595228
278	135848	594520
279	136288	593829
280	136726	593131
281	137163	592430
282	137593	591701
283	138027	590992
284	138465	590302
285	138909	589635
286	139350	588960
287	139785	588263
288	140221	587573
289	140662	586900
290	141098	586211
291	141538	585543
292	141972	584849
293	142408	584164
294	142838	583459
295	143275	582782
296	143708	582091
297	144144	581415
298	144578	580732
299	145011	580047
300	145439	579342
301	145877	578678
302	146310	577997
303	146746	577332
304	147187	576687
305	147624	576026
306	148060	575361
307	148493	574687
308	148925	574015
309	149363	573362
310	149795	572688
311	150231	572036
312	150675	571410
313	151115	570774
314	151553	570131
315	152062	569752
316	152588	569440
317	153005	568718
318	153441	568068
319	153885	567451
320	154402	567106
321	154843	566478
322	155276	565820
323	155723	565219
324	156168	564610
325	156610	563990
326	157062	563408
327	157508	562805
328	157959	562219
329	158410	561638
330	158852	561021
331	159295	560411
332	159744	559823
333	160179	559189
334	160610	558539
335	161049	557919
336	161484	557288
337	161919	556659
338	162356	556036
339	162801	555440
340	163242	554833
341	163680	554218
342	164128	553634
343	164567	553024
344	165003	552403
345	165438	551778
